QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_14:15:58.699042 100325 0.007345 | 0.007344 -0.000111 -0.349407 | 7.672038 -0.259222 -4.427850 | 7.664693 -0.259111 -4.078443
2024-5-19_14:15:58.710053 100325 0.007495 | 0.007480 -0.000479 -0.329198 | 7.672147 -0.259507 -4.407850 | 7.664667 -0.259028 -4.078653
2024-5-19_14:15:58.719045 100325 0.007507 | 0.007490 -0.000510 -0.329094 | 7.672147 -0.259507 -4.407850 | 7.664657 -0.258997 -4.078757
2024-5-19_14:15:58.730046 100325 0.007136 | 0.007090 0.000813 -0.355620 | 7.671983 -0.259079 -4.437850 | 7.664893 -0.259892 -4.082230
2024-5-19_14:15:58.739084 100325 0.007302 | 0.007295 0.000323 -0.325506 | 7.672147 -0.259507 -4.407850 | 7.664852 -0.259830 -4.082345
2024-5-19_14:15:58.750044 100325 0.007406 | 0.007405 0.000122 -0.315680 | 7.672202 -0.259650 -4.397850 | 7.664796 -0.259772 -4.082170
2024-5-19_14:15:58.759047 100325 0.007333 | 0.007317 0.000493 -0.346331 | 7.672038 -0.259222 -4.427850 | 7.664721 -0.259714 -4.081519
2024-5-19_14:15:58.770047 100325 0.007496 | 0.007495 0.000147 -0.326599 | 7.672147 -0.259507 -4.407850 | 7.664652 -0.259654 -4.081251
2024-5-19_14:15:58.779066 100325 0.007529 | 0.007528 0.000043 -0.327063 | 7.672147 -0.259507 -4.407850 | 7.664618 -0.259550 -4.080787
2024-5-19_14:15:58.790073 100325 0.007593 | 0.007591 -0.000190 -0.317334 | 7.672202 -0.259650 -4.397850 | 7.664611 -0.259460 -4.080516
2024-5-19_14:15:58.799073 100325 0.007553 | 0.007551 -0.000166 -0.327511 | 7.672147 -0.259507 -4.407850 | 7.664596 -0.259341 -4.080340
