QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_13:43:53.1134 100330 0.0122962 | 0.00691705 0.0101661 -0.80201 | 6.8863 -0.392317 9.07215 | 6.87938 -0.402483 9.87416
2024-5-19_13:43:53.1224 100330 0.0123727 | 0.00704752 0.0101694 -0.78201 | 6.88643 -0.392314 9.09215 | 6.87938 -0.402483 9.87416
2024-5-19_13:43:53.1344 100330 0.0133491 | 0.0108675 0.00775223 -0.740247 | 6.88643 -0.392314 9.09215 | 6.87556 -0.400066 9.8324
2024-5-19_13:43:53.1434 100330 0.0134473 | 0.0110454 0.00767002 -0.711589 | 6.88668 -0.39263 9.12215 | 6.87563 -0.4003 9.83374
2024-5-19_13:43:53.1544 100330 0.013445 | 0.0106569 0.00819747 -0.721679 | 6.88635 -0.392344 9.11215 | 6.87569 -0.400542 9.83383
2024-5-19_13:43:53.1624 100330 0.0135136 | 0.0107625 0.00817236 -0.701669 | 6.88652 -0.392555 9.13215 | 6.87575 -0.400727 9.83382
2024-5-19_13:43:53.1744 100330 0.0134784 | 0.0104307 0.00853625 -0.740991 | 6.88622 -0.392347 9.09215 | 6.87579 -0.400884 9.83314
2024-5-19_13:43:53.1824 100330 0.0136528 | 0.0103559 0.00889688 -0.739827 | 6.88619 -0.392133 9.09215 | 6.87583 -0.40103 9.83198
2024-5-19_13:43:53.1944 100330 0.0137226 | 0.0103571 0.00900219 -0.728575 | 6.88627 -0.392239 9.10215 | 6.87591 -0.401241 9.83072
2024-5-19_13:43:53.2024 100330 0.013857 | 0.010064 0.00952533 -0.757408 | 6.88602 -0.391923 9.07215 | 6.87596 -0.401448 9.82956
2024-5-19_13:43:53.2144 100330 0.0138247 | 0.0103109 0.00920911 -0.727408 | 6.88627 -0.392239 9.10215 | 6.87596 -0.401448 9.82956
2024-5-19_13:43:53.2224 100330 0.0128004 | 0.0109666 0.00660191 -0.707616 | 6.88601 -0.392381 9.09215 | 6.87504 -0.398983 9.79977
2024-5-19_13:43:53.2344 100330 0.0129036 | 0.0110622 0.00664317 -0.687125 | 6.88618 -0.392592 9.11215 | 6.87511 -0.399235 9.79927
2024-5-19_13:43:53.2424 100330 0.0129222 | 0.0106546 0.0073119 -0.726733 | 6.88585 -0.39217 9.07215 | 6.87519 -0.399482 9.79888
2024-5-19_13:43:53.2544 100330 0.0130096 | 0.010753 0.00732274 -0.70653 | 6.88601 -0.392381 9.09215 | 6.87526 -0.399704 9.79868
2024-5-19_13:43:53.2624 100330 0.0130578 | 0.0105939 0.00763381 -0.716234 | 6.88593 -0.392276 9.08215 | 6.87533 -0.399909 9.79838
2024-5-19_13:43:53.2744 100330 0.0131719 | 0.0103787 0.00811063 -0.735838 | 6.88576 -0.392065 9.06215 | 6.87538 -0.400175 9.79799
2024-5-19_13:43:53.2824 100330 0.0136017 | 0.0105225 0.0086188 -0.735732 | 6.88594 -0.391817 9.06215 | 6.87542 -0.400436 9.79788
2024-5-19_13:43:53.2944 100330 0.0137171 | 0.0105551 0.00876055 -0.726202 | 6.88602 -0.391923 9.07215 | 6.87547 -0.400683 9.79835
2024-5-19_13:43:53.3024 100330 0.0136914 | 0.0106724 0.00857639 -0.706677 | 6.88622 -0.392347 9.09215 | 6.87555 -0.400924 9.79883
2024-5-19_13:43:53.3144 100330 0.0138349 | 0.0102269 0.00931753 -0.756677 | 6.88577 -0.391606 9.04215 | 6.87555 -0.400924 9.79883
2024-5-19_13:43:53.3234 100330 0.0137029 | 0.0104255 0.00889265 -0.736677 | 6.88597 -0.392031 9.06215 | 6.87555 -0.400924 9.79883
2024-5-19_13:43:53.3344 100330 0.0128702 | 0.0104145 0.00756168 -0.717493 | 6.88619 -0.392133 9.09215 | 6.87577 -0.399695 9.80964
2024-5-19_13:43:53.3425 100330 0.0130528 | 0.0105088 0.00774215 -0.707288 | 6.88627 -0.392239 9.10215 | 6.87576 -0.399981 9.80944
2024-5-19_13:43:53.3544 100330 0.013224 | 0.0101634 0.00846046 -0.746894 | 6.88594 -0.391817 9.06215 | 6.87578 -0.400278 9.80904
2024-5-19_13:43:53.3624 100330 0.0133893 | 0.0103802 0.0084573 -0.71679 | 6.88619 -0.392133 9.09215 | 6.87581 -0.400591 9.80894
2024-5-19_13:43:53.3744 100330 0.0134644 | 0.0105606 0.00835249 -0.69726 | 6.88639 -0.392558 9.11215 | 6.87582 -0.400911 9.80941
